split,index,I-ADR,E-ADR,B-ADR,S-ADR,S-Drug,B-Finding,E-Finding,I-Finding,B-Disease,E-Disease,E-Symptom,S-Disease,S-Symptom,E-Drug,B-Symptom,B-Drug,S-Finding,I-Symptom,I-Drug,I-Disease,accuracy,macro avg,weighted avg
train,precision,0.04694077802044757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04694077802044757,0.0022352751438308367,0.0022034366411649337
train,recall,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04694077802044757,0.047619047619047616,0.04694077802044757
train,f1-score,0.08967226992381183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04694077802044757,0.0042701080916100875,0.004209286117083308
train,support,4449.0,3506.0,3349.0,1363.0,1286.0,200.0,200.0,149.0,119.0,119.0,114.0,112.0,112.0,111.0,110.0,110.0,109.0,104.0,50.0,50.0,0.04694077802044757,94779.0,94779.0
dev,precision,0.04046966731898239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04046966731898239,0.0019271270151896376,0.0016377939729091111
dev,recall,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04046966731898239,0.047619047619047616,0.04046966731898239
dev,f1-score,0.07779115257297624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04046966731898239,0.003704340598713154,0.003148182064988549
dev,support,517.0,449.0,442.0,209.0,164.0,39.0,34.0,20.0,15.0,15.0,13.0,16.0,13.0,20.0,12.0,20.0,25.0,23.0,7.0,13.0,0.04046966731898239,12775.0,12775.0
test,precision,0.044356201419398444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044356201419398444,0.0021122000675904023,0.0019674726043582445
test,recall,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044356201419398444,0.047619047619047616,0.044356201419398444
test,f1-score,0.0849445837715395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044356201419398444,0.004044980179597119,0.0037678190672573706
test,support,525.0,442.0,418.0,158.0,192.0,24.0,27.0,9.0,8.0,9.0,13.0,12.0,9.0,27.0,13.0,27.0,28.0,20.0,25.0,3.0,0.044356201419398444,11836.0,11836.0
