split,index,B-ADR,I-ADR,E-ADR,B-Drug,B-Finding,B-Disease,B-Symptom,E-Finding,I-Finding,E-Disease,E-Symptom,E-Drug,I-Symptom,I-Drug,I-Disease,micro avg,macro avg,weighted avg,samples avg
train,precision,0.6231184322635615,0.28609523809523807,0.5302076777847703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4964082770451378,0.09596142320957132,0.38594834533933475,0.048855122929197005
train,recall,0.4656196943972835,0.16880197797257812,0.48060467769537935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2944917949370309,0.0743350900043494,0.2944917949370309,0.048834019204389574
train,f1-score,0.5329770436050043,0.21232683064744134,0.5041891083183722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36967543614515547,0.08329953217138784,0.33225524187644445,0.04884105377932538
train,support,4712.0,4449.0,3506.0,1396.0,309.0,231.0,222.0,200.0,149.0,119.0,114.0,111.0,104.0,50.0,50.0,15722.0,15722.0,15722.0,15722.0
dev,precision,0.6572052401746725,0.2579710144927536,0.5531400966183575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5086277732128184,0.09788775675238558,0.39185456400198837,
dev,recall,0.46236559139784944,0.172147001934236,0.5100222717149221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2996127783155857,0.07630232433646716,0.2996127783155857,
dev,f1-score,0.5428313796212805,0.20649651972157773,0.5307068366164542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3770941212305818,0.08533564906395416,0.3380587117474817,
dev,support,651.0,517.0,449.0,184.0,64.0,31.0,25.0,34.0,20.0,15.0,13.0,20.0,23.0,7.0,13.0,2066.0,2066.0,2066.0,
test,precision,0.6549295774647887,0.25862068965517243,0.558974358974359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5042955326460481,0.09816830840628801,0.3821427679011315,0.04960283927666047
test,recall,0.484375,0.17142857142857143,0.49321266968325794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29512317747611866,0.07660108274078863,0.29512317747611866,0.04956058813587967
test,f1-score,0.5568862275449102,0.20618556701030927,0.5240384615384616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3723437995559784,0.0858073504062454,0.3321462492439823,0.04957467184947326
test,support,576.0,525.0,442.0,219.0,52.0,20.0,22.0,27.0,9.0,9.0,13.0,27.0,20.0,25.0,3.0,1989.0,1989.0,1989.0,1989.0
