split,index,I-ADR,E-ADR,B-ADR,S-ADR,S-Drug,B-Finding,E-Finding,I-Finding,B-Disease,E-Disease,E-Symptom,S-Disease,S-Symptom,E-Drug,B-Symptom,B-Drug,S-Finding,I-Symptom,I-Drug,I-Disease,micro avg,macro avg,weighted avg,samples avg
train,precision,0.5170068027210885,0.694560669456067,0.7677824267782427,0.7837837837837838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7052631578947368,0.13815668413695908,0.532686275092019,0.008483697372586262
train,recall,0.017082490447291526,0.09469480889903023,0.10958495073156166,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05113853199338506,0.012131942291128215,0.05113853199338506,0.008483697372586262
train,f1-score,0.03307223672758921,0.16666666666666666,0.191795139796185,0.041428571428571426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09536235322025856,0.021648130730950614,0.09097193617662791,0.008483697372586262
train,support,4449.0,3506.0,3349.0,1363.0,1286.0,200.0,200.0,149.0,119.0,119.0,114.0,112.0,112.0,111.0,110.0,110.0,109.0,104.0,50.0,50.0,15722.0,15722.0,15722.0,15722.0
dev,precision,0.3076923076923077,0.6891891891891891,0.7432432432432432,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6829268292682927,0.12033957033957035,0.45322832326704543,
dev,recall,0.007736943907156673,0.11358574610244988,0.1244343891402715,0.009569377990430622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05421103581800581,0.012766322857015433,0.05421103581800581,
dev,f1-score,0.015094339622641511,0.19502868068833654,0.21317829457364343,0.018867924528301883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10044843049327355,0.022108461970646167,0.09367853516066518,
dev,support,517.0,449.0,442.0,209.0,164.0,39.0,34.0,20.0,15.0,15.0,13.0,16.0,13.0,20.0,12.0,20.0,25.0,23.0,7.0,13.0,2066.0,2066.0,2066.0,
test,precision,0.5384615384615384,0.72,0.82,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7457627118644068,0.1439230769230769,0.5380051823490738,0.00743620077742099
test,recall,0.013333333333333334,0.08144796380090498,0.09808612440191387,0.02531645569620253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04424333836098542,0.010909193861617737,0.04424333836098542,0.00743620077742099
test,f1-score,0.02602230483271376,0.14634146341463414,0.1752136752136752,0.04907975460122699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083531086853346,0.019832859903112503,0.08010988151470744,0.00743620077742099
test,support,525.0,442.0,418.0,158.0,192.0,24.0,27.0,9.0,8.0,9.0,13.0,12.0,9.0,27.0,13.0,27.0,28.0,20.0,25.0,3.0,1989.0,1989.0,1989.0,1989.0
