split,index,I-ADR,E-ADR,B-ADR,S-ADR,S-Drug,B-Finding,E-Finding,B-Drug,B-Disease,S-Disease,E-Drug,E-Disease,S-Finding,S-Symptom,I-Finding,B-Symptom,E-Symptom,I-Symptom,I-Disease,I-Drug,micro avg,macro avg,weighted avg,samples avg
train,precision,0.7476560407179212,0.7937427578215527,0.7774830533451224,0.8458149779735683,0.9869230769230769,0.89,0.8247422680412371,1.0,0.9565217391304348,0.968421052631579,0.9893617021276596,0.9512195121951219,0.967032967032967,0.875,1.0,0.9512195121951219,0.96875,1.0,0.9761904761904762,1.0,0.8112506137336045,0.9235039568162918,0.8143711489972483,0.12204284056135908
train,recall,0.6273319847156664,0.7815173987450086,0.7876978202448492,0.8451944240645635,0.9976671850699844,0.445,0.4,0.9363636363636364,0.7394957983193278,0.8214285714285714,0.8378378378378378,0.6554621848739496,0.8073394495412844,0.5,0.16778523489932887,0.35454545454545455,0.2719298245614035,0.17307692307692307,0.82,0.82,0.7356570410889199,0.6394836864143896,0.7356570410889199,0.12200063311174422
train,f1-score,0.6822292837936934,0.7875826386892786,0.7825571047167011,0.8455045871559632,0.9922660479505027,0.5933333333333334,0.5387205387205387,0.9671361502347418,0.8341232227488152,0.8888888888888888,0.9073170731707317,0.7761194029850748,0.8799999999999999,0.6363636363636364,0.28735632183908044,0.5165562913907285,0.4246575342465753,0.29508196721311475,0.8913043478260869,0.9010989010989011,0.771606791420661,0.7214098636183195,0.7636430148704743,0.12201470226161584
train,support,4449.0,3506.0,3349.0,1363.0,1286.0,200.0,200.0,110.0,119.0,112.0,111.0,119.0,109.0,112.0,149.0,110.0,114.0,104.0,50.0,50.0,15722.0,15722.0,15722.0,15722.0
dev,precision,0.6357308584686775,0.69375,0.7070063694267515,0.7586206896551724,0.9408284023668639,0.5714285714285714,0.375,0.6153846153846154,0.3,0.5,0.6428571428571429,0.3333333333333333,0.2,0.5,1.0,0.0,0.0,0.0,0.4444444444444444,0.6666666666666666,0.7014038876889849,0.494252554701612,0.6704530470164671,
dev,recall,0.5299806576402321,0.7416481069042317,0.753393665158371,0.7368421052631579,0.9695121951219512,0.10256410256410256,0.08823529411764706,0.4,0.2,0.3125,0.45,0.13333333333333333,0.08,0.23076923076923078,0.05,0.0,0.0,0.0,0.3076923076923077,0.2857142857142857,0.6287512100677638,0.31860926421394253,0.6287512100677638,
dev,f1-score,0.5780590717299577,0.7168998923573735,0.7294633077765607,0.7475728155339806,0.954954954954955,0.17391304347826086,0.14285714285714285,0.4848484848484849,0.24,0.38461538461538464,0.5294117647058824,0.19047619047619044,0.11428571428571428,0.3157894736842105,0.09523809523809523,0.0,0.0,0.0,0.3636363636363637,0.4,0.6630934150076571,0.3581010850089279,0.6374409927643984,
dev,support,517.0,449.0,442.0,209.0,164.0,39.0,34.0,20.0,15.0,16.0,20.0,15.0,25.0,13.0,20.0,12.0,13.0,23.0,13.0,7.0,2066.0,2066.0,2066.0,
test,precision,0.6717171717171717,0.7635933806146572,0.744578313253012,0.7,0.9158415841584159,0.45454545454545453,0.3333333333333333,0.8421052631578947,0.2,0.8333333333333334,0.7222222222222222,0.25,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,0.0,0.875,0.7394117647058823,0.4569801694834414,0.7036397057964082,0.10621936792293392
test,recall,0.5066666666666667,0.7307692307692307,0.7392344497607656,0.7531645569620253,0.9635416666666666,0.20833333333333334,0.07407407407407407,0.5925925925925926,0.125,0.4166666666666667,0.48148148148148145,0.1111111111111111,0.10714285714285714,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.28,0.6319758672699849,0.31560004547248466,0.6319758672699849,0.10613486564137231
test,f1-score,0.5776330076004343,0.7468208092485549,0.7418967587034814,0.7256097560975608,0.9390862944162436,0.28571428571428575,0.12121212121212122,0.6956521739130435,0.15384615384615385,0.5555555555555556,0.5777777777777777,0.15384615384615383,0.16216216216216214,0.30769230769230765,0.0,0.0,0.0,0.0,0.0,0.42424242424242425,0.6814854974247764,0.358437387101413,0.6586858943342803,0.10616303306855951
test,support,525.0,442.0,418.0,158.0,192.0,24.0,27.0,27.0,8.0,12.0,27.0,9.0,28.0,9.0,9.0,13.0,13.0,20.0,3.0,25.0,1989.0,1989.0,1989.0,1989.0
