split,index,I-ADR,E-ADR,B-ADR,S-ADR,S-Drug,E-Finding,B-Disease,B-Finding,S-Disease,E-Drug,I-Finding,B-Drug,E-Disease,S-Finding,E-Symptom,S-Symptom,B-Symptom,I-Symptom,I-Drug,I-Disease,micro avg,macro avg,weighted avg,samples avg
train,precision,0.7470255510044861,0.8080185042405551,0.7975315126050421,0.8138847858197932,0.8992907801418439,0.3161290322580645,0.3699421965317919,0.22727272727272727,0.4473684210526316,0.673469387755102,0.0,0.7272727272727273,0.42857142857142855,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.7802856966174015,0.3877888527263097,0.7350362124938032,0.13314339981006648
train,recall,0.8608676106990335,0.8967484312606959,0.9068378620483727,0.8085106382978723,0.9860031104199067,0.245,0.5378151260504201,0.05,0.45535714285714285,0.2972972972972973,0.0,0.21818181818181817,0.025210084033613446,0.027522935779816515,0.0,0.0,0.0,0.0,0.0,0.0,0.8025696476275284,0.3157676028462995,0.8025696476275284,0.13310646829165348
train,f1-score,0.7999164578111947,0.8500743544680276,0.8486796143635602,0.8111888111888113,0.9406528189910979,0.27605633802816903,0.4383561643835617,0.08196721311475409,0.45132743362831856,0.41250000000000003,0.0,0.3356643356643357,0.047619047619047616,0.05217391304347826,0.0,0.0,0.0,0.0,0.0,0.0,0.7912708117768791,0.31730882511521785,0.7610436889334344,0.1331187787977911
train,support,4449.0,3506.0,3349.0,1363.0,1286.0,200.0,119.0,200.0,112.0,111.0,149.0,110.0,119.0,109.0,114.0,112.0,110.0,104.0,50.0,50.0,15722.0,15722.0,15722.0,15722.0
dev,precision,0.6118012422360248,0.724609375,0.7222222222222222,0.7405660377358491,0.8907103825136612,0.36363636363636365,0.3333333333333333,0.6666666666666666,0.5,0.75,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6990610328638498,0.44017728116720606,0.6682437148189334,
dev,recall,0.7620889748549323,0.8262806236080178,0.8529411764705882,0.7511961722488039,0.9939024390243902,0.11764705882352941,0.4,0.10256410256410256,0.4375,0.15,0.0,0.05,0.06666666666666667,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.7207163601161665,0.2775393607130516,0.7207163601161665,
dev,f1-score,0.6787252368647718,0.7721123829344433,0.7821576763485476,0.7458432304038005,0.9394812680115273,0.17777777777777776,0.3636363636363636,0.17777777777777778,0.4666666666666667,0.24999999999999997,0.0,0.09523809523809523,0.11764705882352941,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.709723546234509,0.2821993305703189,0.6726722159052161,
dev,support,517.0,449.0,442.0,209.0,164.0,34.0,15.0,39.0,16.0,20.0,20.0,20.0,15.0,25.0,13.0,13.0,12.0,23.0,7.0,13.0,2066.0,2066.0,2066.0,
test,precision,0.6754850088183422,0.7839506172839507,0.7484143763213531,0.7041420118343196,0.8571428571428571,0.42857142857142855,0.2,0.14285714285714285,0.6666666666666666,0.8,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7320261437908496,0.33036150547480303,0.6798385511376132,0.12303532195369275
test,recall,0.7295238095238096,0.8619909502262444,0.84688995215311,0.7531645569620253,0.96875,0.2222222222222222,0.625,0.041666666666666664,0.3333333333333333,0.2962962962962963,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7320261437908496,0.300608556035852,0.7320261437908496,0.12295081967213115
test,f1-score,0.7014652014652014,0.8211206896551725,0.7946127946127947,0.72782874617737,0.9095354523227382,0.29268292682926833,0.30303030303030304,0.06451612903225806,0.4444444444444444,0.43243243243243246,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7320261437908496,0.2960120274286706,0.7005711305242835,0.12297898709931834
test,support,525.0,442.0,418.0,158.0,192.0,27.0,8.0,24.0,12.0,27.0,9.0,27.0,9.0,28.0,13.0,9.0,13.0,20.0,25.0,3.0,1989.0,1989.0,1989.0,1989.0
