split,index,I-ADR,B-ADR,B-Drug,B-Symptom,B-Finding,I-Finding,B-Disease,I-Drug,I-Symptom,I-Disease,micro avg,macro avg,weighted avg,samples avg
train,precision,0.7995826927300681,0.8113421550094518,0.9316005471956225,0.0,0.3891891891891892,0.3472222222222222,0.4074074074074074,0.9571428571428572,0.0,0.6666666666666666,0.7808015244447091,0.5310153737563484,0.7687632026949522,0.13835601983750132
train,recall,0.9155035835533761,0.9108658743633277,0.9756446991404012,0.0,0.23300970873786409,0.07163323782234957,0.047619047619047616,0.4161490683229814,0.0,0.011834319526627219,0.8340966921119592,0.3582259539085975,0.8340966921119592,0.13832436425029018
train,f1-score,0.8536256521484261,0.8582283543291342,0.9531140657802659,0.0,0.291497975708502,0.1187648456057007,0.08527131782945736,0.5800865800865801,0.0,0.023255813953488372,0.8065696798203794,0.37638446054415553,0.7895641033680385,0.13833491611269388
train,support,7953.0,4712.0,1396.0,222.0,309.0,349.0,231.0,161.0,218.0,169.0,15720.0,15720.0,15720.0,15720.0
dev,precision,0.6684636118598383,0.7479564032697548,0.9166666666666666,0.0,0.4666666666666667,0.5,0.375,0.7857142857142857,0.0,0.0,0.679945676776822,0.44604676341772115,0.6732952984670054,
dev,recall,0.7701863354037267,0.8433179723502304,0.9565217391304348,0.0,0.21875,0.09259259259259259,0.0967741935483871,0.4074074074074074,0.0,0.0,0.7270087124878993,0.33855502404327786,0.7270087124878993,
dev,f1-score,0.7157287157287157,0.7927797833935019,0.9361702127659574,0.0,0.2978723404255319,0.15625,0.15384615384615383,0.5365853658536585,0.0,0.0,0.7026900584795321,0.35892325720135193,0.6904681814939783,
dev,support,966.0,651.0,184.0,25.0,64.0,54.0,31.0,27.0,36.0,28.0,2066.0,2066.0,2066.0,
test,precision,0.7134986225895317,0.7476780185758514,0.8865546218487395,0.0,0.3181818181818182,0.3333333333333333,0.5,0.9,0.0,0.0,0.740246913580247,0.43992464145292737,0.7039299263318733,0.12666892006084166
test,recall,0.8035160289555325,0.8385416666666666,0.9634703196347032,0.0,0.1346153846153846,0.05555555555555555,0.05,0.34615384615384615,0.0,0.0,0.7536450477626948,0.3191852801581688,0.7536450477626948,0.12658441777928003
test,f1-score,0.7558365758754862,0.7905073649754499,0.9234135667396062,0.0,0.18918918918918917,0.09523809523809525,0.09090909090909091,0.5,0.0,0.0,0.7468858993522671,0.3345093882926918,0.7187221585208743,0.1266125852064672
test,support,967.0,576.0,219.0,22.0,52.0,36.0,20.0,52.0,33.0,12.0,1989.0,1989.0,1989.0,1989.0
